ilkid,firstname,lastname,position,firstseason,lastseason,h_feet,h_inches,weight,college,birthdate
CLARKCA01,Carlos,Clark,G,1983,1984,6,4,210,University of Mississippi,1960-08-10 00:00:00
CLARKDI01,Dick,Clark,G,1967,1968,6,4,190,Eastern Kentucky University,1944-01-05 00:00:00
CLARKKE01,Keon,Clark,C,1998,2003,6,11,220,University of Nevada - Las Vegas,1975-04-16 00:00:00
CLAWSJO01,John,Clawson,F,1968,1968,6,4,200,University of Michigan,1944-05-15 00:00:00
CLAXTCH01,Charles,Claxton,C,1995,1995,7,0,265,University of Georgia,1970-12-13 00:00:00
CLAXTSP01,Speedy,Claxton,G,2001,2006,5,11,166,Hofstra University,1978-05-08 00:00:00
CLEAMJI01,Jim,Cleamons,G,1971,1979,6,3,185,Ohio State University,1949-09-13 00:00:00
CLEAVMA01,Mateen,Cleaves,G,2000,2005,6,3,210,Michigan State University,1977-09-07 00:00:00
CLEMEJO01,John,Clemens,F,1965,1975,6,6,210,Ohio Wesleyan University,1943-05-01 00:00:00
CLIFTNA01,Nat,Clifton,C,1950,1957,6,6,220,Xavier University of Louisiana,1922-10-13 00:00:00
CLOSSBI01,Bill,Closs,F,1949,1951,6,5,195,Rice University,1922-01-08 00:00:00
CLOSSKE01,Keith,Closs,C,1997,1999,7,3,212,Central Connecticut State University,1976-04-03 00:00:00
CLOYDPA01,Paul,Cloyd,G,1949,1949,6,2,180,University of Wisconsin,1920-06-13 00:00:00
CLUGGMA01,Marion,Cluggish,C,1946,1946,6,10,235,University of Kentucky,1917-09-18 00:00:00
CLYDEBE01,Ben,Clyde,F,1974,1974,6,7,198,Florida State University,1951-06-10 00:00:00
COFFERI01,Richard,Coffey,G,1990,1990,6,6,212,University of Minnesota,1965-09-02 00:00:00
COFIEFR01,Fred,Cofield,G,1985,1986,6,3,190,Eastern Michigan University,1962-01-04 00:00:00
COKERJO01,John,Coker,C,1995,2000,7,0,253,Boise State University,1971-10-28 00:00:00
COLEMBE01,Ben,Coleman,F,1986,1993,6,9,235,University of Maryland,1961-11-14 00:00:00
COLEMDE01,Derrick,Coleman,F,1990,2004,6,10,230,Syracuse University,1967-06-21 00:00:00
COLEMEC01,E.c.,Coleman,F,1973,1978,6,8,225,Houston Baptist University,1950-09-25 00:00:00
COLEMJA01,Jack,Coleman,F,1949,1957,6,7,195,University of Louisville,1924-05-23 00:00:00
COLEMNO01,Norris,Coleman,F,1987,1987,6,8,210,Kansas State University,1961-09-27 00:00:00
COLESBI01,Bimbo,Coles,G,1990,2003,6,1,180,Virginia Polytechnic Institute,1968-04-22 00:00:00
COLLIJA02,Jason,Collier,F,2000,2004,7,0,260,Georgia Institute of Technology,1977-09-08 00:00:00
COLLIJA03,Jason,Collins,C,2001,2007,7,0,260,Stanford University,1978-12-02 00:00:00
COLLIJA04,Jarron,Collins,C,2001,2007,6,11,255,Stanford University,1978-12-02 00:00:00
COLLIJI01,Jimmy,Collins,G,1970,1971,6,2,175,New Mexico State University,1946-11-24 00:00:00
COLLIAR01,Art,Collins,G,1980,1980,6,4,185,St. Thomas University,1954-04-14 00:00:00
COLLIDO01,Doug,Collins,G,1973,1980,6,6,180,Illinois State University,1951-07-28 00:00:00
COLLIDO02,Don,Collins,G,1980,1986,6,6,190,Washington State University,1958-11-28 00:00:00
COLLIJA01,James,Collins,G,1997,1997,6,4,196,Florida State University,1973-11-05 00:00:00
ColliMa01,Mardy,Collins,G,2006,2007,6,6,220,Temple University,1984-08-04 00:00:00
COLLINI01,Nick,Collison,F,2004,2007,6,9,255,University of Kansas,1980-10-26 00:00:00
COLONJO01,Joe,Colone,F,1948,1948,6,5,210,Bloomsburg University of Pennsylvania,1926-01-23 00:00:00
COLSOSE01,Sean,Colson,G,2000,2000,6,0,165,University of North Carolina at Charlotte,1975-07-01 00:00:00
COLTEST01,Steve,Colter,G,1984,1994,6,3,165,New Mexico State University,1962-07-24 00:00:00
COMBSGL01,Glen,Combs,G,1968,1974,6,2,185,Virginia Polytechnic Institute,1946-10-30 00:00:00
COMBSLE01,Leroy,Combs,F,1983,1983,6,8,210,Oklahoma State University,1961-01-01 00:00:00
COMEAJO01,John,Comeaux,F,1967,1967,6,5,193,Grambling State University,1943-09-15 00:00:00
COMEGDA01,Dallas,Comegys,C,1987,1988,6,9,205,DePaul University,1964-08-17 00:00:00
COMLELA01,Larry,Comley,G,1963,1963,6,5,210,Kansas State University,1939-08-17 00:00:00
CONGDJE01,Jeff,Congdon,G,1967,1971,6,1,180,Brigham Young University,1943-10-17 00:00:00
CONLEGE01,Gene,Conley,C,1952,1963,6,8,225,Washington State University,1930-11-10 00:00:00
CONLELA01,Larry,Conley,G,1967,1967,6,3,175,University of Kentucky,1944-01-22 00:00:00
ConleMi01,Mike,Conley Jr.,G,2007,2007,6,1,180,Ohio State University,1987-10-11 00:00:00
CONLIED01,Ed,Conlin,F,1955,1961,6,5,200,Fordham University,1933-09-02 00:00:00
CONLOMA01,Marty,Conlon,C,1991,1999,6,10,224,Providence College,1968-01-19 00:00:00
CONNEJI01,Jimmy,Conner,G,1975,1975,6,4,190,University of Kentucky,1953-03-20 00:00:00
CONNELE01,Lester,Conner,G,1982,1994,6,4,180,Oregon State University,1959-09-17 00:00:00
CONNOCH01,Chuck,Connors,F,1946,1947,6,5,190,Seton Hall University,1921-04-10 00:00:00
ConroWi01,Will,Conroy,G,2006,2006,6,2,195,University of Washington,1982-12-08 00:00:00
CookDa02,Daequan,Cook,G,2007,2007,6,5,210,Ohio State University,1987-04-28 00:00:00
COOKBR01,Brian,Cook,F,2003,2007,6,10,240,University of Illinois,1980-12-04 00:00:00
COOKOM01,Omar,Cook,G,2003,2004,6,1,190,Saint John's University,1982-01-28 00:00:00
COOKAN01,Anthony,Cook,F,1990,1995,6,9,205,University of Arizona,1967-03-19 00:00:00
COOKBE01,Bert,Cook,G,1954,1954,6,3,185,Utah State University,1929-04-26 00:00:00
COOKBO01,Bobby,Cook,G,1949,1949,5,10,155,University of Wisconsin,1923-04-01 00:00:00
COOKDA01,Darwin,Cook,G,1980,1988,6,3,184,University of Portland,1958-08-06 00:00:00
COOKJE01,Jeff,Cook,F,1979,1987,6,10,215,Idaho State University,1956-10-21 00:00:00
COOKNO01,Norm,Cook,F,1976,1977,6,8,210,University of Kansas,1955-03-21 00:00:00
COOKEDA01,David,Cooke,F,1985,1985,6,8,230,Saint Mary's College of California,1963-09-27 00:00:00
COOKEJO01,Joe,Cooke,G,1970,1970,6,3,175,Indiana University,1948-08-14 00:00:00
COOPECH01,Chuck,Cooper,F,1950,1955,6,5,210,Duquesne University,1926-09-29 00:00:00
COOPEDU01,Duane,Cooper,G,1992,1993,6,1,185,University of Southern California,1969-06-25 00:00:00
COOPEJO01,Joe,Cooper,C,1981,1984,6,10,230,Colorado University,1957-09-01 00:00:00
COOPEMI01,Michael,Cooper,G,1978,1989,6,5,170,University of New Mexico,1956-04-15 00:00:00
COOPEWA01,Wayne,Cooper,C,1978,1991,6,10,220,University of New Orleans,1956-11-16 00:00:00
COPATO01,Tom,Copa,F,1991,1991,6,10,275,Marquette University,1964-10-30 00:00:00
COPELHO01,Hollis,Copeland,F,1979,1981,6,6,180,Rutgers University,1955-12-20 00:00:00
COPELLA01,Lanard,Copeland,F,1989,1991,6,6,190,Georgia State University,1965-07-16 00:00:00
CORBITY01,Tyrone,Corbin,F,1985,2000,6,6,210,DePaul University,1962-12-31 00:00:00
CORCHCH01,Chris,Corchiani,G,1991,1993,6,0,185,North Carolina State University,1968-03-28 00:00:00
CORLEKE01,Ken,Corley,C,1946,1946,6,4.5,210,Oklahoma State Teachers,1921-05-10 00:00:00
CORLERA01,Ray,Corley,G,1949,1952,6,0,180,Georgetown University,1928-01-01 00:00:00
CORZIDA01,Dave,Corzine,C,1978,1990,6,11,250,DePaul University,1956-04-25 00:00:00
COSTELA01,Larry,Costello,G,1954,1967,6,1,186,Niagara University,1931-07-02 00:00:00
COTTOJA01,Jack,Cotton,F,1949,1949,6,7,200,University of Wyoming,1924-10-15 00:00:00
COTTOJA02,James,Cotton,G,1997,1998,6,5,220, Long Beach,1975-12-14 00:00:00
COUGHJO01,John,Coughran,F,1979,1979,6,7,225, Berkeley,1951-09-12 00:00:00
COUNTME01,Mel,Counts,C,1964,1975,7,0,230,Oregon State University,1941-10-16 00:00:00
COURTST01,Steve,Courtin,G,1964,1964,6,1,188,Saint Joseph's University,1942-09-21 00:00:00
COURTJO01,Joe,Courtney,F,1992,1996,6,8,235,University of Southern Mississippi,1969-10-17 00:00:00
COUSYBO01,Bob,Cousy,G,1950,1969,6,1,175,College of Holy Cross,1928-08-09 00:00:00
COWENDA01,Dave,Cowens,C,1970,1982,6,9,230,Florida State University,1948-10-25 00:00:00
COXJO01,Johnny,Cox,G,1962,1962,6,4,180,University of Kentucky,1936-11-01 00:00:00
COXJO02,John,Cox,G,1982,1982,6,2,180,University of San Francisco ,1955-12-29 00:00:00
COXWE01,Wesley,Cox,F,1977,1978,6,6,215,University of Louisville,1955-01-27 00:00:00
CRAWFCH01,Chris,Crawford,F,1997,2003,6,9,235,Marquette University,1975-05-13 00:00:00
CRAWFFR01,Fred,Crawford,G,1966,1970,6,4,189,Saint Bonaventure University,1941-12-23 00:00:00
CRAWFJA01,Jamal,Crawford,G,2000,2007,6,5,175,University of Michigan,1980-03-20 00:00:00
CrawfJo01,Joe,Crawford,G,2008,0,6,5,207,University of Kentucky,1986-06-17 00:00:00
CREIGJI01,Jim,Creighton,F,1975,1975,6,8,200,Colorado University,1950-04-18 00:00:00
CREVIRO01,Ron,Crevier,F,1985,1985,7,0,235,Boston College,1958-04-14 00:00:00
CRISLHA01,Hal,Crisler,F,1946,1946,6,3,215,Iowa State University,1923-12-31 00:00:00
CRISPJO01,Joe,Crispin,G,2001,2001,6,0,185,Pennsylvania State University,1979-07-18 00:00:00
CRISSCH01,Charlie,Criss,G,1977,1984,5,8,165,New Mexico State University,1948-11-06 00:00:00
CRITCRU01,Russ,Critchfield,G,1968,1968,5,10,150, Berkeley,1946-06-27 00:00:00
CRITEWI01,Winston,Crite,F,1987,1988,6,7,233,Texas A&M University,1965-06-20 00:00:00
CrittJa01,Javaris,Crittenton,G,2007,2007,6,5,198,Georgia Institute of Technology,1987-12-31 00:00:00
CROCKDI01,Dillard,Crocker,F,1948,1952,6,4,205,Western Michigan University,1925-01-19 00:00:00
CROFTBO01,Bobby,Croft,C,1970,1970,6,10,200,University of Tennessee,1947-08-10 00:00:00
CROMPJE01,Jeffrey,Crompton,C,1978,1983,6,11,280,University of North Carolina,1955-07-04 00:00:00
CROSBTE01,Terry,Crosby,G,1979,1979,6,4,195,University of Tennessee,1957-01-04 00:00:00
CROSHAU01,Austin,Croshere,F,1997,2007,6,9,235,Providence College,1975-05-01 00:00:00
CROSSJE01,Jeff,Cross,F,1985,1985,6,10,240,University of Maine,1961-09-01 00:00:00
CROSSPE01,Pete,Cross,C,1970,1972,6,9,230,University of San Francisco ,1948-03-28 00:00:00
CROSSRU01,Russell,Cross,C,1983,1983,6,10,215,Purdue University,1961-09-05 00:00:00
CROSSFR01,Francis,Crossin,G,1947,1949,6,1,165,University of Pennsylvania ,1924-07-04 00:00:00
CROTTJO01,John,Crotty,G,1992,2002,6,1,185,University of Virginia,1969-07-15 00:00:00
CROWBI01,Bill,Crow,G,1967,1967,6,1,180,Westminster College - UT,1940-12-09 00:00:00
CROWMA01,Mark,Crow,F,1977,1977,6,7,210,Duke University,1954-10-22 00:00:00
CROWDCO01,Corey,Crowder,F,1991,1994,6,5,214,Kentucky Wesleyan College,1969-04-13 00:00:00
CUETOAL01,Al,Cueto,C,1969,1970,6,7,230,University of Tulsa,1946-08-02 00:00:00
CUMMIPA01,Pat,Cummings,C,1979,1990,6,9,230,University of Cincinnati,1956-07-11 00:00:00
CUMMITE01,Terry,Cummings,F,1982,1999,6,9,220,DePaul University,1961-03-15 00:00:00
CUMMIVO01,Vonteego,Cummings,G,1999,2001,6,3,185,University of Pittsburgh,1976-02-29 00:00:00
CUNNIBI01,Billy,Cunningham,F,1965,1975,6,6,210,University of North Carolina,1943-06-03 00:00:00
CUNNIDI01,Dick,Cunningham,C,1968,1974,6,10,245,Murray State University,1946-07-11 00:00:00
CUNNIWI01,Willi,Cunningham,C,1997,1998,6,11,250,Temple University,1974-03-25 00:00:00
CURCIRA01,Radisav,Curcic,C,1992,1992,6,10,275,0,1965-09-26 00:00:00
CUREAR01,Armand,Cure,F,1946,1946,6,0,198,University of Rhode Island,1919-08-01 00:00:00
CURETEA01,Earl,Cureton,F,1980,1996,6,9,210,University of Detroit Mercy,1957-09-03 00:00:00
CURLEBI01,Bill,Curley,F,1994,2000,6,9,220,Boston College,1972-05-29 00:00:00
CURRAFR01,Fran,Curran,G,1948,1949,6,0,175,University of Notre Dame,1925-09-19 00:00:00
CURRYDE01,Dell,Curry,G,1986,2001,6,4,190,Virginia Polytechnic Institute,1964-06-25 00:00:00
CURRYED01,Eddy,Curry,C,2001,2007,6,11,285,0,1982-12-05 00:00:00
CURRYMI01,Michael,Curry,G,1993,2004,6,5,210,Georgia Southern University,1968-08-12 00:00:00
CVETKRA01,Rastko,Cvetkovic,C,1995,1995,7,1,260,0,1970-06-22 00:00:00
DANTMI01,Mike,D'antoni,G,1973,1976,6,3,185,Marshall University,1951-05-08 00:00:00
DABICMI01,Mike,Dabich,C,1967,1967,7,0,242,New Mexico State University,1942-12-27 00:00:00
DAHLEED01,Ed,Dahler,F,1951,1951,6,5,190,Duquesne University,1926-01-31 00:00:00
DAILEQU01,Quintin,Dailey,G,1982,1991,6,3,180,University of San Francisco ,1961-01-22 00:00:00
DALEMSA01,Samuel,Dalembert,C,2001,2007,6,11,250,Seton Hall University,1981-05-10 00:00:00
DALLMHO01,Howie,Dallmar,F,1946,1948,6,4,200,Stanford University,1922-05-24 00:00:00
DAMPIER01,Erick,Dampier,C,1996,2007,6,11,265,Mississippi State University,1974-07-14 00:00:00
DAMPILO01,Lou,Dampier,G,1967,1978,6,0,170,University of Kentucky,1944-11-20 00:00:00
DANDRBO01,Bob,Dandridge,F,1969,1981,6,6,195,Norfolk State University,1947-11-15 00:00:00
DANIEAN01,Antonio,Daniels,G,1997,2007,6,4,195,Bowling Green University,1975-03-19 00:00:00
DANIELL01,Lloyd,Daniels,G,1992,1997,6,7,205,Mt. San Antonio College,1967-09-04 00:00:00
DANIEME01,Mel,Daniels,C,1967,1976,6,9,220,University of New Mexico,1944-07-20 00:00:00
DANIEMA01,Marquis,Daniels,G,2003,2007,6,6,200,Auburn University,1981-01-07 00:00:00
DANIEER01,Erik,Daniels,F,2004,2004,6,8,214,University of Kentucky,1982-04-01 00:00:00
DANILPR01,Predrag,Danilovic,G,1995,1996,6,5,200,0,1970-02-26 00:00:00
DANTLAD01,Adrian,Dantley,F,1976,1990,6,5,208,University of Notre Dame,1956-02-28 00:00:00
DANTOMI01,Mike,Dantoni,G,1975,1975,0,0,0,0,1956-02-28 00:00:00
DARCEHE01,Henry,Darcey,C,1952,1952,6,7,217,Oklahoma State University,1930-03-03 00:00:00
DARDEJI01,Jimmy,Darden,G,1949,1949,6,1,170,University of Denver,1922-06-19 00:00:00
DARDEOL01,Oliver,Darden,F,1967,1969,6,6.5,235,University of Michigan,1944-07-28 00:00:00
DAREYI01,Yinka,Dare,C,1994,1997,7,0,265,George Washington University,1972-10-10 00:00:00
DARKJE01,Jesse,Dark,G,1974,1974,6,4.5,210,Virginia Commonwealth University,1951-09-02 00:00:00
DARNERI01,Rick,Darnell,C,1975,1975,6,10,215,San Jose State University,1953-01-01 00:00:00
DARROJI01,Jimmy,Darrow,G,1961,1961,5,10,170,Bowling Green University,1937-09-25 00:00:00
DAUGHBR01,Brad,Daugherty,C,1986,1993,7,0,245,University of North Carolina,1965-10-19 00:00:00
DAUGHMA01,Mack,Daughtry,G,1970,1970,6,3,175,Albany State University,1947-01-01 00:00:00
DAVIDKO01,Kornel,David,F,1998,2000,6,9,235,0,1971-10-22 00:00:00
DavidJe01,Jermareo,Davidson,F,2007,2007,6,10,230,University of Alabama,1984-11-15 00:00:00
DAVIEBO01,Bob,Davies,G,1948,1954,6,1,175,Seton Hall University,1920-01-15 00:00:00
DAVISAN01,Antonio,Davis,F,1993,2005,6,9,215,University of Texas at El Paso,1968-10-31 00:00:00
DAVISAU01,Aubrey,Davis,G,1946,1946,6,2,175,Oklahoma Baptist University,1921-03-28 00:00:00
DAVISBA01,Baron,Davis,G,1999,2007,6,3,209,University of California - Los Angeles,1979-04-13 00:00:00
DAVISBE01,Ben,Davis,F,1996,1999,6,9,240,University of Arizona,1972-12-26 00:00:00
DAVISBI01,Bill,Davis,F,1946,1946,6,3,215,University of Notre Dame,1921-10-03 00:00:00
DAVISBO01,Bob,Davis,F,1972,1972,6,7,215,Weber State University,1950-04-02 00:00:00
DAVISBR01,Brad,Davis,G,1977,1991,6,3,180,University of Maryland,1955-12-17 00:00:00
DAVISBR02,Brian,Davis,F,1993,1993,6,7,200,Duke University,1970-06-21 00:00:00
DAVISCH01,Charlie,Davis,G,1971,1973,6,1.5,160,Wake Forest University,1949-09-07 00:00:00
DAVISCH02,Charlie,Davis,F,1982,1989,6,7,215,Vanderbilt University,1958-10-05 00:00:00
DAVISDA01,Dale,Davis,F,1991,2006,6,11,230,Clemson University,1969-03-25 00:00:00
DAVISDW01,Dwight,Davis,F,1972,1976,6,8,220,University of Houston,1949-10-28 00:00:00
DAVISED01,Edward,Davis,F,1972,1976,6,7,195,Duquesne University,1950-06-16 00:00:00
DAVISEM01,Emanual,Davis,G,1996,2002,6,4,195,Delaware State University,1968-08-27 00:00:00
DAVISHA01,Harry,Davis,F,1978,1979,6,7,220,Florida State University,1956-01-27 00:00:00
DAVISHU01,Hubert,Davis,G,1992,2003,6,5,183,University of North Carolina,1970-05-17 00:00:00
DAVISJA01,James,Davis,C,1955,1955,6,7,220,Saint John's University,1932-04-22 00:00:00
DAVISJI01,Jim,Davis,C,1967,1974,6,9,225,Colorado University,1941-12-18 00:00:00
DAVISJO01,Johnny,Davis,G,1976,1985,6,1.5,170,Univeristy of Dayton,1955-10-21 00:00:00
DAVISLE01,Lee,Davis,C,1968,1975,6,8,235,North Carolina Central University,1945-10-11 00:00:00
DAVISMA01,Mark,Davis,F,1994,1999,6,7,210,Texas Tech University,1973-04-26 00:00:00
DAVISME01,Mel,Davis,F,1973,1976,6,6,220,Saint John's University,1950-11-09 00:00:00
DAVISMI01,Mike,Davis,G,1969,1972,6,3,185,Virginia Union University,1946-07-26 00:00:00
DAVISMI02,Mickey,Davis,F,1971,1971,0,0,0,0,1946-07-26 00:00:00
DAVISMI03,Michael,Davis,F,1982,1982,6,10,230,University of Maryland,1956-08-02 00:00:00
DAVISMO01,Monti,Davis,F,1980,1980,6,7,205,Tennessee State University,1958-07-26 00:00:00
DAVISRA01,Ralph,Davis,G,1960,1961,6,4,180,University of Cincinnati,1938-09-07 00:00:00
DAVISRI01,Ricky,Davis,G,1998,2007,6,6,195,University of Iowa,1979-09-23 00:00:00
DAVISRO01,Ron,Davis,G,1976,1981,6,6,198,Washington State University,1954-05-01 00:00:00
DAVISTE01,Terry,Davis,F,1989,2000,6,9,225,Virginia Union University,1967-06-17 00:00:00
DAVISWA01,Walt,Davis,C,1953,1957,6,8,205,Texas A&M University,1931-01-05 00:00:00
DAVISWA02,Warren,Davis,F,1967,1972,6,6,212,North Carolina A&T State University,1943-06-30 00:00:00
DAVISWA03,Walter,Davis,G,1977,1991,6,6,193,University of North Carolina,1954-09-09 00:00:00
DAVISWI01,Willie,Davis,C,1970,1970,6,8,234,University of North Texas,1945-08-09 00:00:00
DavisGl01,Glen,Davis,F,2007,2007,6,9,289,Louisiana State University,1986-01-01 00:00:00
DavisPa01,Paul,Davis,C,2006,2007,6,11,270,Michigan State University,1984-07-21 00:00:00
DAVISJO02,Josh,Davis,F,2003,2005,6,8,235,University of Wyoming,1980-08-10 00:00:00
DAVISMA02,Mark,Davis,F,1988,1988,6,6,195,Old Dominion University,1963-06-08 00:00:00
DAWKIDA01,Darryl,Dawkins,C,1975,1988,6,11,251,0,1957-01-11 00:00:00
DAWKIJO01,Johnny,Dawkins,G,1986,1994,6,2,165,Duke University,1963-09-28 00:00:00
DAWKIPA01,Paul,Dawkins,F,1979,1979,6,5,190,Northern Illinois University,1957-06-10 00:00:00
DAWSOJA01,James,Dawson,G,1967,1967,6,0,175,University of Illinois,1945-04-18 00:00:00
DAWSOTO01,Tony,Dawson,F,1990,1994,6,7,215,Florida State University,1967-08-25 00:00:00
DAYTO01,Todd,Day,G,1992,2000,6,6,188,University of Arkansas,1970-01-07 00:00:00
DAYEDA01,Darren,Daye,F,1983,1987,6,8,220,University of California - Los Angeles,1960-11-30 00:00:00
DEANEGR01,Greg,Deane,G,1979,1979,6,4,190,University of Utah,1957-12-06 00:00:00
DEANGBI01,Billy,Deangelis,G,1970,1970,6,1,180,Saint Joseph's University,1946-10-05 00:00:00
DEBUSDA01,Dave,Debusschere,F,1962,1973,6,6,220,University of Detroit Mercy,1940-10-16 00:00:00
DECLEAN01,Andrew,Declercq,C,1995,2004,6,10,230,University of Florida,1973-02-01 00:00:00
DEEDO01,Don,Dee,F,1968,1968,6,8,210,St. Mary of the Plains College,1943-08-09 00:00:00
DEESAR01,Archie,Dees,F,1958,1961,6,8,205,Indiana University,1936-02-22 00:00:00
DEHERTE01,Terry,Dehere,G,1993,1998,6,2,190,Seton Hall University,1971-09-12 00:00:00
DEHNEHE01,Henry,Dehnert,F,1946,1946,6,2.5,175,Columbia University,1924-01-01 00:00:00
DELNEVI01,Vinny,Del Negro,G,1988,2001,6,4,185,North Carolina State University,1966-08-09 00:00:00
DELEBI01,Bison,Dele,C,1991,1998,6,9,235,University of Arizona,1969-04-06 00:00:00
DELFICA01,Carlos,Delfino,G,2004,2007,6,6,230,0,1982-08-29 00:00:00
DELKTO01,Tony,Delk,G,1996,2005,6,1,189,University of Kentucky,1974-01-28 00:00:00
DELONNA01,Nate,Delong,C,1951,1951,6,6,220,University of Wisconsin - River Falls,1926-01-05 00:00:00
DEMBOFE01,Fennis,Dembo,F,1988,1988,6,5,215,University of Wyoming,1966-01-24 00:00:00
DEMICLA01,Larry,Demic,F,1979,1981,6,9,225,University of Arizona,1957-06-27 00:00:00
DEMPSDE01,Dell,Demps,G,1993,1996,6,3,205,Pacific University,1970-02-12 00:00:00
DEMPSGE01,George,Dempsey,G,1954,1958,6,2,190,King's College,1929-07-19 00:00:00
DENGLU01,Luol,Deng,G,2004,2007,6,8,220,Duke University,1985-04-16 00:00:00
DENNAKE01,Kenny,Dennard,F,1981,1983,6,8,220,Duke University,1958-10-18 00:00:00
DENNIBL01,Blaine,Denning,G,1952,1952,6,2,175,Lawrence Technological University,1930-09-19 00:00:00
DENTORA01,Randy,Denton,C,1971,1976,6,10,240,Duke University,1949-02-18 00:00:00
DEPREJO01,Joe,Depre,G,1970,1972,6,3,185,Saint John's University,1947-12-19 00:00:00
DERLIRO01,Rod,Derline,G,1974,1975,6,0,175,Seattle University,1952-03-11 00:00:00
DEUTSDA01,Dave,Deutsch,G,1966,1966,6,1,170,University of Rochester,1945-05-13 00:00:00
DEVLIWA01,Walter,Devlin,G,1955,1957,6,5,195,George Washington University,1931-12-21 00:00:00
DEZONHA01,Hank,Dezonie,F,1950,1950,6,5.5,215,Clark Atlanta University,1922-02-12 00:00:00
DIALDE01,Derrick,Dial,G,1999,2003,6,4,184,Eastern Michigan University,1975-12-20 00:00:00
DIAWBO01,Boris,Diaw,G,2003,2007,6,8,203,0,1982-04-16 00:00:00
DiawaYa01,Yakhouba,Diawara,F,2006,2007,6,7,225,Pepperdine University,1982-08-29 00:00:00
DiazGu01,Guillermo,Diaz,G,2007,2007,6,2,192,University of Miami,1985-03-04 00:00:00
DICKADA01,Dan,Dickau,G,2002,2007,6,0,190,Gonzaga University,1978-09-16 00:00:00
DICKEKA01,Kaniel,Dickens,F,2003,2007,6,8,215,University of Idaho,1978-07-21 00:00:00
DICKEHE01,Henry,Dickerson,G,1975,1976,6,4,190,University of Charleston,1951-11-27 00:00:00
DICKEMI01,Michael,Dickerson,G,1998,2002,6,5,190,University of Arizona,1975-06-25 00:00:00
DICKECL01,Clyde,Dickey,G,1974,1974,6,3,185,Boise State University,1951-12-14 00:00:00
DICKEDE01,Derrek,Dickey,F,1973,1977,6,7,218,University of Cincinnati,1951-03-20 00:00:00
DICKEDI01,Dick,Dickey,G,1951,1951,6,1,175,North Carolina State University,1926-10-26 00:00:00
DICKSJO01,John,Dickson,C,1967,1967,6,10,240,Arkansas State,1945-11-18 00:00:00
DIENETR01,Travis,Diener,G,2005,2007,6,1,175,Marquette University,1982-03-01 00:00:00
DIERKCO01,Connie,Dierking,C,1958,1970,6,9,222,University of Cincinnati,1936-10-02 00:00:00
DIETRCO01,Coby,Dietrick,C,1970,1982,6,10,220,San Jose State University,1948-07-23 00:00:00
DIGREER01,Ernie,Digregorio,G,1973,1977,6,0,180,Providence College,1951-01-15 00:00:00
DILLCR01,Craig,Dill,C,1967,1967,6,11,215,University of Michigan,1944-12-17 00:00:00
DILLADU01,Wayne,Dillard,F,1975,1975,6,6,0,Eastern Michigan University,0
DILLAMI01,Mickey,Dillard,G,1981,1981,6,3,170,Florida State University,1958-10-15 00:00:00
DILLEBO01,Bob,Dille,F,1946,1946,6,3,190,Valparaiso University,1917-07-02 00:00:00
DILLOJO01,John,Dillon,F,1949,1949,6,3,180,University of North Carolina,1924-01-08 00:00:00
DINKIBY01,Byron,Dinkins,G,1989,1990,6,1,170,University of North Carolina at Charlotte,1967-06-15 00:00:00
DINKIJA01,Jackie,Dinkins,F,1971,1971,6,5,210,Voorhees College,1950-01-22 00:00:00
DINNEHA01,Harry,Dinnel,F,1967,1967,6,4,200,Pepperdine University,1941-01-01 00:00:00
DINWIBI01,Bill,Dinwiddie,F,1967,1971,6,7,220,New Mexico Highlands University,1943-07-15 00:00:00
DIOGUIK01,Ike,Diogu,C,2005,2007,6,8,250,Arizona State University,1983-09-11 00:00:00
DIOPDE01,Desagana,Diop,C,2001,2007,7,0,300,0,1982-01-30 00:00:00
DISCHTE01,Terry,Dischinger,F,1962,1972,6,7,189,Purdue University,1940-11-21 00:00:00
DIUTEFR01,Fred,Diute,G,1954,1954,6,3,210,Saint Bonaventure University,1929-01-09 00:00:00
DIVACVL01,Vlade,Divac,C,1989,2004,6,11,243,0,1968-02-03 00:00:00
DIXONJU01,Juan,Dixon,G,2002,2007,6,3,164,University of Maryland,1978-10-09 00:00:00
DJORDAL01,Aleksi,Djordjevic,G,1996,1996,6,2,198,0,1967-08-26 00:00:00
DODDEA01,Earl,Dodd,F,1949,1949,6,5,175,Truman State University,1924-11-01 00:00:00
DOLEAMI01,Michael,Doleac,C,1998,2007,6,11,262,University of Utah,1977-06-15 00:00:00
DOLHOJO01,Joe,Dolhon,G,1949,1950,6,0,175,New York University,1927-07-09 00:00:00
DOLLBO01,Bob,Doll,F,1946,1949,6,4.5,195,Colorado University,1919-08-10 00:00:00
DONALJA01,James,Donaldson,C,1980,1994,7,2,275,Washington State University,1957-08-16 00:00:00
DONHABO01,Bob,Donham,G,1950,1953,6,2,190,Ohio State University,1926-10-11 00:00:00
DONOVBI01,Billy,Donovan,G,1987,1987,5,11,171,Providence College,1965-05-30 00:00:00
DONOVHA01,Harry,Donovan,G,1949,1949,6,2,180,Muhlenberg College,1926-09-10 00:00:00
DOOLIKE01,Keyon,Dooling,G,2000,2007,6,3,196,University of Missouri,1980-05-08 00:00:00
DORSEJA01,Jacky,Dorsey,F,1977,1980,6,7,230,University of Georgia,1954-12-18 00:00:00
