,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Free Kick Accuracy,Overall,Position,Position class,ID,VersionID
150176,72,53,32,63,55,81,82,66,78,91,90,90,75,91,81,63,65,33,58,30,25,68,56,55,23,24,25,9,8,7,9,9,73,74,RW,Attack,204737,204737009
80203,79,94,79,83,87,86,82,60,87,88,85,85,93,75,91,71,80,70,88,71,29,88,86,92,22,28,38,8,9,9,11,9,85,87,LW,Attack,113422,113422011
203776,79,63,58,75,57,78,73,78,75,80,82,79,75,78,78,62,81,63,75,82,75,72,61,60,74,75,76,13,12,11,12,12,68,75,LB,Defense,188489,188489018
178980,48,66,57,59,62,64,62,49,66,83,79,67,62,63,63,74,62,72,61,48,21,55,61,66,25,25,25,6,5,8,9,6,56,64,ST,Attack,202052,202052016
55593,32,52,43,71,68,63,71,67,74,61,65,64,66,62,74,53,78,74,76,71,62,50,77,58,28,39,36,5,15,8,7,9,62,67,CM,Midfield,138089,138089007
190582,64,65,67,83,76,86,64,78,85,78,79,82,77,73,84,77,82,87,71,75,72,70,79,66,62,75,63,15,13,10,15,13,54,80,CM,Midfield,162240,162240027
174971,58,59,47,55,56,61,64,56,62,67,73,68,62,74,60,60,70,58,61,76,41,62,63,50,28,29,31,10,13,13,8,8,64,61,CF,Attack,186751,186751017
150663,49,41,70,56,56,51,37,44,60,51,55,44,64,51,71,75,63,77,50,69,65,51,48,39,66,70,67,9,14,9,9,12,40,68,CB,Defense,31686,31686020
131788,66,74,72,74,60,78,56,60,74,86,86,80,72,81,74,74,70,68,68,38,49,78,68,68,30,33,35,11,6,9,5,6,57,75,ST,Attack,193301,193301014
194367,49,40,69,64,35,39,41,58,53,69,74,63,64,58,67,80,74,79,54,81,67,42,44,39,62,67,60,9,15,15,13,12,46,68,CB,Defense,161644,161644023
60101,55,66,60,62,54,64,48,58,68,65,65,64,60,64,61,57,60,62,57,61,16,66,50,59,27,24,23,11,6,6,7,13,51,65,ST,Attack,53057,53057005
88122,47,18,54,45,18,48,27,46,47,77,81,66,54,72,51,82,72,65,35,71,51,30,38,47,51,55,59,9,6,10,6,6,24,56,RB,Defense,193741,193741007
159535,54,49,53,73,52,66,69,70,77,84,67,79,69,75,77,81,85,69,64,74,76,57,58,49,56,79,68,12,6,12,13,5,58,71,CDM,Midfield,201359,201359012
196487,58,76,63,67,70,70,68,27,71,81,77,79,67,84,73,73,68,55,72,48,24,69,62,72,35,32,34,5,6,7,14,11,66,71,CF,Attack,194171,194171018
75974,37,66,73,58,42,53,21,41,58,67,70,48,67,45,76,68,47,78,53,43,33,63,42,41,13,20,14,9,8,13,15,10,39,64,ST,Attack,172547,172547006
6912,36,43,71,90,69,49,67,60,60,68,80,65,66,70,80,55,72,73,26,63,58,72,74,58,46,66,61,12,13,60,9,13,58,63,CB,Defense,104053,104053002
208930,67,59,56,62,26,64,55,60,64,74,78,66,67,84,63,77,90,64,65,68,60,61,57,71,61,64,60,15,12,11,9,12,60,65,RB,Defense,173660,173660021
183359,78,68,41,70,68,71,76,76,74,53,55,65,57,86,72,42,53,71,73,70,41,65,75,75,40,55,47,11,10,5,7,14,76,69,CAM,Midfield,53384,53384026
87608,39,41,42,55,42,53,53,57,43,42,65,63,32,25,49,48,62,89,42,43,38,39,41,29,61,55,52,5,12,10,11,10,51,66,CB,Defense,194032,194032006
221301,66,65,64,62,61,62,62,57,65,66,74,67,66,63,68,74,81,76,68,70,41,71,65,70,26,33,29,10,8,8,12,7,52,67,LM,Midfield,192473,192473025
123354,15,13,19,42,11,16,14,40,31,57,61,48,86,35,42,78,44,71,16,26,22,12,20,37,15,16,14,90,81,91,82,87,11,86,GK,Goalkeeper,167495,167495017
24883,60,49,47,66,35,66,42,59,64,71,70,55,52,56,52,58,76,54,26,39,65,69,36,59,48,40,47,7,20,59,20,20,48,60,CM,Midfield,177264,177264003
53850,53,36,60,59,34,57,38,59,59,68,69,64,63,67,50,66,65,60,47,84,67,60,57,56,61,56,61,10,10,13,12,14,31,67,CB,Defense,178187,178187007
40343,78,60,59,85,55,75,76,77,85,70,72,58,72,61,69,65,75,66,67,70,78,78,70,75,75,69,60,8,20,77,20,20,60,82,CM,Midfield,178562,178562006
12281,61,93,79,72,60,80,56,50,79,79,86,60,88,55,84,92,68,71,76,78,78,68,74,70,21,21,78,8,21,50,21,21,87,84,CF,Attack,53056,53056003
60867,56,48,68,66,48,63,46,61,66,66,68,61,58,81,71,66,73,83,58,69,54,56,60,54,58,64,61,6,11,12,7,8,48,66,CM,Midfield,191096,191096005
11575,35,63,54,69,13,58,16,61,50,53,60,51,67,38,60,58,72,59,40,47,62,59,23,58,59,58,13,17,23,61,23,23,38,61,CM,Midfield,139541,139541003
23548,52,49,40,59,55,84,49,45,74,82,80,74,59,71,68,91,76,54,62,47,40,52,68,62,23,38,27,10,23,45,23,23,22,74,RWM,Midfield,140451,140451003
93731,38,26,63,48,23,29,26,49,52,46,42,49,57,39,46,64,73,86,17,71,60,44,56,23,59,66,63,5,12,14,10,9,24,64,CB,Defense,52107,52107006
165038,60,54,52,76,64,83,63,58,86,75,79,84,62,70,59,54,72,36,60,23,35,62,79,49,34,27,22,13,7,7,14,5,55,73,CAM,Midfield,203903,203903028
85256,40,25,78,54,41,45,30,48,52,59,55,53,65,59,60,74,65,84,33,69,64,32,52,59,76,78,74,8,9,15,11,12,54,73,CB,Defense,138880,138880007
72623,41,42,39,66,36,54,29,62,61,62,59,54,60,70,59,41,48,51,39,46,51,52,54,32,42,49,48,11,8,9,13,9,42,56,CM,Midfield,202528,202528003
335,69,60,63,79,53,67,71,66,71,71,75,64,70,73,70,58,77,73,66,52,50,69,74,71,36,73,45,15,7,66,11,8,71,73,CM,Midfield,111040,111040001
159569,66,68,53,71,65,72,63,67,73,79,76,76,67,77,70,67,68,61,63,52,33,70,66,66,23,24,29,13,13,8,12,13,59,70,CAM,Midfield,192370,192370011
156973,56,59,61,62,62,67,68,50,66,79,86,78,62,79,69,80,68,67,62,48,32,63,39,61,25,21,25,11,7,14,15,11,60,65,ST,Attack,202428,202428009
39719,63,28,51,64,19,57,15,50,63,52,64,57,53,53,55,76,73,69,29,65,65,64,37,51,70,65,14,9,22,50,22,22,34,63,LB,Defense,138528,138528004
89082,68,78,85,73,73,74,61,55,76,56,55,56,81,41,78,86,61,78,69,62,33,82,77,76,44,51,34,10,8,12,12,15,53,76,ST,Attack,156432,156432012
1048,62,64,43,68,33,73,46,62,62,67,89,46,64,49,68,51,75,77,48,42,64,62,56,42,68,36,58,9,10,62,13,13,42,70,RM,Midfield,20699,20699001
189209,39,22,51,38,25,41,41,34,51,54,54,57,55,66,25,60,64,65,25,69,58,45,42,52,56,62,62,6,8,12,13,11,48,56,RB,Defense,204302,204302008
88797,40,61,66,54,53,54,39,38,62,92,81,59,68,83,57,82,74,57,47,48,51,74,43,54,13,36,22,15,5,14,7,6,36,66,ST,Attack,196064,196064005
134044,17,14,16,25,17,15,11,18,19,27,33,37,56,30,34,50,41,85,19,30,23,17,9,20,11,9,14,59,72,56,68,64,16,64,GK,Goalkeeper,205068,205068006
71742,74,68,51,52,45,44,48,60,45,72,75,74,71,51,70,53,44,44,68,46,40,51,57,41,14,16,14,14,5,15,5,12,41,72,RM,Midfield,183925,183925004
108659,53,52,46,66,48,57,53,62,62,63,68,63,48,60,62,74,65,56,55,46,53,47,57,44,34,36,29,10,9,9,7,14,64,57,CM,Midfield,193206,193206006
47749,55,46,69,63,32,49,56,58,62,63,63,53,72,71,57,75,67,75,49,72,62,71,58,65,72,69,71,5,21,58,21,21,63,72,CB,Defense,110979,110979005
101849,18,19,11,32,9,15,14,28,21,45,46,35,54,37,36,64,53,51,14,25,20,15,19,29,18,19,19,61,59,55,64,68,19,62,GK,Goalkeeper,205530,205530003
160835,25,25,25,22,25,25,25,21,26,38,35,52,59,49,23,61,21,64,25,44,25,25,20,22,25,25,25,61,62,54,64,65,23,62,GK,Goalkeeper,142824,142824007
75031,54,38,54,69,42,46,42,63,58,59,55,63,53,70,52,56,67,58,55,62,56,45,60,48,28,50,48,11,7,9,11,10,52,65,CM,Midfield,177804,177804003
164161,48,67,57,60,64,64,62,49,66,83,79,67,64,63,66,74,62,75,61,48,21,59,61,68,25,25,25,6,5,8,9,6,56,64,ST,Attack,202052,202052013
50999,56,39,50,62,49,44,35,53,62,59,57,63,61,63,48,52,62,50,50,57,66,63,57,55,53,50,57,5,21,53,21,21,43,55,CM,Midfield,184765,184765002
6953,61,54,61,62,15,68,14,64,67,71,73,39,60,35,61,65,74,58,59,71,68,58,17,61,58,49,14,7,8,64,9,6,61,62,LB,Defense,170456,170456002
171427,45,51,62,52,65,67,54,44,66,90,90,82,69,65,54,85,80,77,44,70,35,61,66,43,31,25,23,9,13,5,12,12,59,63,ST,Attack,200555,200555011
140608,73,72,60,82,68,79,77,76,82,73,71,85,80,79,72,81,84,63,74,66,70,75,77,65,51,61,55,11,11,7,10,8,74,78,CAM,Midfield,188154,188154014
138507,57,40,65,72,49,51,60,66,72,55,63,51,66,49,79,69,76,87,73,75,72,62,61,49,60,82,75,15,9,13,6,6,59,70,CDM,Midfield,176846,176846017
55656,22,11,22,25,8,22,8,22,27,34,24,52,42,78,22,71,43,74,22,49,22,11,62,23,22,22,8,83,74,68,88,86,9,76,GK,Goalkeeper,137790,137790005
106910,62,67,51,58,46,74,62,52,71,78,73,72,65,71,56,70,64,56,62,43,42,74,58,50,21,39,24,13,13,14,12,15,51,66,RM,Midfield,194955,194955008
134821,41,59,56,26,44,61,53,26,65,72,70,76,64,61,65,40,42,56,54,30,33,58,50,66,22,25,25,5,12,11,15,15,57,60,ST,Attack,189691,189691010
92155,42,79,74,57,54,64,43,42,65,61,55,59,58,68,68,71,61,67,67,66,24,84,71,73,18,29,27,10,6,11,9,7,42,69,ST,Attack,41049,41049010
182535,63,59,49,66,58,69,75,55,67,74,73,68,62,62,71,61,80,70,62,48,29,59,62,56,29,33,29,13,12,12,12,11,64,66,LM,Midfield,199413,199413021
78333,18,11,14,10,12,17,15,25,25,29,32,33,55,32,35,34,35,67,17,51,23,13,19,19,13,10,15,63,68,54,67,70,13,65,GK,Goalkeeper,20116,20116009
147639,16,18,13,33,11,9,15,35,34,62,61,38,60,44,35,82,36,78,13,60,26,15,35,25,16,18,9,69,50,70,62,68,16,63,GK,Goalkeeper,162978,162978012
105395,61,25,43,64,26,47,48,61,49,68,74,82,51,76,29,84,78,73,26,31,51,37,58,61,71,76,71,13,9,15,5,15,33,62,CB,Defense,155910,155910012
77784,54,44,49,79,43,57,59,70,66,62,66,59,77,73,69,60,74,70,64,69,61,57,71,49,63,76,71,6,6,5,10,11,60,70,CDM,Midfield,156008,156008006
175201,74,52,69,76,50,72,56,76,73,81,76,81,74,76,70,83,84,59,58,75,75,58,66,57,72,76,77,8,11,11,15,7,44,75,RB,Defense,111206,111206026
79531,61,40,29,72,42,66,61,53,62,81,72,92,74,90,71,56,70,62,52,44,27,56,73,73,32,35,26,7,12,13,14,10,71,67,CAM,Midfield,158877,158877006
225056,76,31,55,67,58,71,64,57,70,78,84,82,72,74,76,82,84,74,69,76,68,64,48,54,67,75,77,4,6,7,5,7,50,75,LB,Defense,168799,168799035
203013,71,77,78,76,78,76,73,69,72,79,79,70,79,64,78,78,85,75,66,67,38,82,75,71,38,31,41,14,9,11,5,13,51,76,RM,Midfield,177666,177666027
5892,52,23,57,61,42,52,49,51,56,63,56,63,43,64,23,73,55,65,25,46,57,56,51,55,60,54,66,8,23,51,23,23,34,57,CM,Midfield,172290,172290001
122127,15,12,12,26,13,13,11,25,31,41,37,35,53,43,39,74,43,55,16,33,9,5,9,31,16,11,12,66,62,56,58,70,12,63,GK,Goalkeeper,205659,205659009
192632,50,56,50,48,48,52,50,52,54,70,82,69,57,60,56,63,60,68,45,30,41,59,39,53,39,29,27,14,9,15,7,12,43,57,ST,Attack,190940,190940022
213611,65,77,77,66,65,74,58,65,73,74,76,74,71,64,77,76,84,79,72,68,48,77,62,72,42,55,40,8,15,12,10,8,58,75,ST,Attack,125995,125995037
202992,74,30,61,73,54,74,66,69,73,78,76,69,73,65,59,71,80,79,31,75,73,72,65,49,71,76,75,14,11,6,12,12,52,73,RB,Defense,188840,188840027
158291,67,30,68,68,32,60,39,66,67,51,52,56,69,65,56,70,66,69,36,69,72,59,68,48,72,76,74,9,13,13,7,8,32,70,LB,Defense,50455,50455015
113019,14,14,12,21,11,12,13,23,24,62,54,48,82,46,25,71,32,75,10,68,24,12,31,21,14,14,13,82,79,73,79,84,11,81,GK,Goalkeeper,135377,135377015
30860,63,83,57,87,38,86,64,85,88,79,82,74,83,75,81,61,85,66,74,59,80,83,58,85,22,48,34,2,20,85,20,20,85,82,CAM,Midfield,177003,177003006
204006,25,25,25,21,25,25,25,22,24,48,49,37,55,56,22,55,32,72,25,21,22,25,25,25,25,25,25,66,61,64,71,68,25,66,GK,Goalkeeper,137317,137317022
56429,68,63,60,77,67,68,76,71,77,73,67,62,76,80,74,61,62,76,76,75,62,59,81,75,69,72,68,15,10,9,11,7,77,71,CM,Midfield,135804,135804008
137435,64,53,66,77,41,73,43,72,72,76,80,77,64,74,74,90,86,75,67,82,62,58,61,54,68,66,60,9,7,10,13,5,56,69,CM,Midfield,193550,193550010
213525,59,44,65,55,49,54,35,59,53,67,73,61,63,70,50,66,72,67,31,55,62,36,45,23,62,65,64,13,9,8,5,8,33,62,CB,Defense,163757,163757015
2636,50,59,63,58,50,60,55,57,61,63,60,57,56,56,59,68,53,54,60,56,67,31,58,58,45,35,62,12,12,57,12,12,58,59,CAM,Midfield,170349,170349001
97582,62,65,50,72,40,73,64,67,74,74,70,72,66,51,73,46,73,79,72,40,40,70,65,62,35,48,40,14,6,6,6,14,54,70,CAM,Midfield,180981,180981006
117033,38,37,79,68,32,56,38,60,58,60,73,51,72,48,76,66,76,89,48,80,75,42,47,45,76,81,74,9,10,7,7,12,21,76,CB,Defense,188177,188177015
106142,64,29,62,58,29,63,47,56,64,73,75,66,55,64,48,69,80,73,23,83,56,58,60,37,56,64,60,12,13,8,9,8,38,63,LB,Defense,161977,161977008
16907,30,64,70,39,47,59,61,33,45,60,70,67,65,72,62,68,49,52,58,47,38,30,72,40,22,25,52,5,22,33,22,22,40,60,ST,Attack,189795,189795001
111048,55,44,58,66,61,64,56,61,68,68,66,71,66,71,71,67,66,63,66,62,61,56,63,52,51,60,58,7,7,12,7,5,63,63,CM,Midfield,199698,199698006
111870,64,47,84,67,62,58,47,69,68,69,69,50,77,53,74,67,72,83,67,78,79,53,62,58,79,81,77,7,7,11,10,9,38,78,CB,Defense,52270,52270015
121582,40,73,49,66,69,71,58,54,75,82,75,81,73,72,61,78,81,66,67,39,43,72,68,56,32,47,40,10,5,14,12,6,59,70,CF,Attack,201400,201400008
113085,71,63,37,72,62,70,72,65,75,75,76,74,68,67,61,66,67,51,64,54,56,75,71,71,18,17,17,11,14,9,12,12,69,71,LM,Midfield,199183,199183008
186910,62,64,94,74,82,68,64,71,75,64,65,66,82,80,77,94,78,73,67,87,64,83,71,66,45,65,55,12,10,6,6,5,58,74,CM,Midfield,51412,51412043
21776,34,23,74,35,70,30,43,23,41,68,71,74,61,73,60,58,77,78,41,68,63,65,55,54,67,70,44,7,25,23,25,25,41,67,CB,Defense,152778,152778003
57479,72,67,36,70,59,74,67,66,72,74,76,66,61,64,76,56,79,63,68,68,48,65,63,56,44,48,30,10,15,9,6,10,65,71,RM,Midfield,143221,143221008
210161,25,25,25,23,25,25,25,21,21,47,45,24,71,37,25,51,40,62,25,38,21,25,25,25,25,25,25,72,70,75,67,73,25,71,GK,Goalkeeper,182207,182207024
34014,86,83,78,77,71,75,69,74,77,83,78,72,81,68,75,76,78,69,75,70,73,77,62,70,22,29,33,9,22,74,22,22,73,77,ST,Attack,135697,135697005
158123,72,44,58,65,39,71,64,55,68,78,75,78,74,79,63,60,74,55,50,75,72,50,50,54,68,75,76,10,13,10,13,14,44,70,RB,Defense,204977,204977011
131366,71,64,57,62,67,74,42,63,71,84,82,80,74,78,72,61,69,64,68,55,35,67,61,62,10,21,20,15,6,10,7,10,50,72,RW,Attack,189468,189468014
110197,57,23,68,64,11,36,36,64,50,73,77,56,67,60,55,70,72,73,33,67,64,36,52,39,55,64,67,7,9,6,6,8,37,62,CB,Defense,186689,186689012
80835,13,10,14,35,14,13,13,23,28,45,41,56,70,64,33,65,45,68,11,56,24,14,35,14,10,12,17,60,66,60,64,63,11,63,GK,Goalkeeper,8910,8910006
52109,69,72,64,85,79,67,71,69,71,76,75,76,83,74,85,69,80,76,86,57,85,63,81,72,75,69,72,10,12,14,8,9,78,82,CAM,Midfield,180432,180432007
19851,53,32,38,54,62,38,44,52,48,50,55,74,48,68,35,71,62,61,30,61,45,45,43,48,65,57,14,1,21,52,21,21,43,57,CB,Defense,186130,186130001
77283,62,75,60,58,64,62,66,58,66,68,71,73,64,67,74,64,77,66,62,62,23,70,67,82,23,20,13,13,11,8,7,10,60,68,ST,Attack,172780,172780011
95441,50,55,57,49,56,48,58,28,60,75,59,82,63,87,55,84,34,42,61,35,34,80,54,67,27,20,21,7,15,9,5,7,61,63,ST,Attack,152695,152695012
116868,73,55,45,89,71,75,79,87,85,73,67,77,78,79,71,51,71,59,69,85,70,60,85,73,49,61,57,11,9,7,12,11,77,78,CM,Midfield,173146,173146015
206572,63,65,69,64,61,68,42,63,66,77,90,78,60,72,71,84,80,71,61,58,33,65,63,75,25,25,25,10,10,12,6,15,39,68,ST,Attack,175367,175367026
111129,70,65,40,63,58,74,69,56,67,88,85,81,61,73,66,72,65,57,67,58,26,68,53,61,34,28,32,5,15,12,12,14,46,68,RM,Midfield,171082,171082011
152990,76,65,34,78,75,81,81,68,83,71,61,75,75,89,77,50,50,44,77,55,46,72,76,73,29,45,35,7,10,6,9,5,69,73,CF,Attack,137199,137199023
177516,32,27,59,54,24,39,41,48,49,51,55,56,64,55,46,67,60,75,21,66,62,41,60,37,62,63,67,9,13,7,11,6,39,65,CB,Defense,200931,200931006
132871,46,51,58,65,46,62,46,69,65,73,66,65,65,76,69,77,72,67,61,78,61,47,56,52,60,62,63,7,12,12,10,9,53,67,CDM,Midfield,185339,185339007
203647,62,60,50,76,54,70,55,72,67,62,65,63,65,66,70,71,76,62,70,78,63,65,73,63,66,66,48,15,10,6,9,10,40,70,CM,Midfield,188585,188585020
204916,62,74,65,67,59,68,56,63,70,48,57,63,74,55,73,60,83,75,68,63,21,76,59,72,32,38,36,10,7,13,12,6,32,69,ST,Attack,163340,163340030
45065,71,69,51,71,58,73,76,65,72,64,64,70,64,57,68,57,60,52,71,53,64,65,71,60,22,44,24,11,22,65,22,22,69,66,CAM,Midfield,113699,113699007
94075,52,55,51,73,39,52,51,70,62,72,71,74,65,72,50,57,61,59,48,49,67,56,67,58,65,54,62,14,11,12,6,6,54,66,CDM,Midfield,194792,194792006
182516,49,25,50,55,25,20,33,60,48,54,54,51,54,58,27,72,52,85,25,60,55,27,33,40,55,57,52,9,15,13,11,13,25,58,CB,Defense,194656,194656009
92270,64,70,43,73,70,70,71,63,73,70,67,71,59,85,77,82,61,57,71,41,31,64,70,63,40,39,36,14,5,11,14,13,66,70,CAM,Midfield,179569,179569022
37778,20,20,20,20,37,20,65,67,22,46,46,67,56,74,20,63,50,58,20,50,55,60,61,68,20,20,68,71,67,67,68,71,9,68,GK,Goalkeeper,177723,177723003
70655,13,12,13,35,15,15,15,23,21,64,46,42,66,53,47,60,59,69,10,63,24,10,32,11,19,13,13,62,68,66,64,63,10,64,GK,Goalkeeper,17808,17808006
78211,52,42,59,74,54,60,58,67,71,53,62,67,71,83,61,66,80,50,57,72,75,47,71,63,69,73,66,7,13,12,15,6,56,71,CDM,Midfield,117022,117022008
142985,68,47,84,67,60,56,47,72,66,67,69,50,75,55,72,67,72,83,62,78,81,56,66,57,77,81,75,7,7,11,10,9,38,77,CB,Defense,52270,52270023
22436,21,21,79,56,69,38,72,51,63,57,51,65,52,65,52,55,71,81,24,63,62,56,51,53,74,78,56,15,21,51,21,21,19,70,CB,Defense,4360,4360004
117515,71,44,67,72,44,63,63,57,66,67,65,59,67,68,70,78,74,77,52,69,72,46,52,57,72,73,69,10,8,6,11,5,54,70,LB,Defense,141092,141092016
4311,58,60,62,75,62,72,78,69,78,74,63,63,64,61,54,76,82,80,56,72,67,67,73,69,52,52,57,7,10,69,12,12,69,71,LM,Midfield,201,201001
20865,66,25,40,61,87,64,64,55,64,63,61,67,63,81,54,78,63,65,66,59,68,63,74,52,34,50,26,8,20,55,20,20,63,64,RM,Midfield,51159,51159003
18786,21,21,21,21,22,21,57,48,21,58,58,57,47,59,22,90,62,57,21,28,24,29,45,43,21,21,73,64,55,48,42,66,17,55,GK,Goalkeeper,184630,184630001
1571,26,36,45,44,10,17,15,38,41,58,60,43,43,43,37,63,60,62,20,61,20,15,56,51,54,40,11,2,9,38,9,6,51,49,RB,Defense,53732,53732001
118478,53,72,67,62,69,66,60,47,72,70,79,67,68,58,74,85,78,81,50,65,30,71,47,67,21,42,34,10,7,12,15,6,52,69,ST,Attack,183660,183660014
112301,10,11,13,27,13,16,12,17,26,36,39,32,53,48,19,63,33,77,10,31,21,15,22,29,11,13,9,72,73,67,70,75,11,70,GK,Goalkeeper,205122,205122007
90770,58,58,45,54,22,54,45,50,56,75,74,72,57,75,59,70,69,73,56,62,54,43,44,50,49,57,60,10,14,6,7,14,48,57,LB,Defense,205877,205877002
90579,71,29,64,73,42,72,63,67,68,78,78,72,65,64,58,69,76,70,53,63,63,56,48,32,66,74,69,10,12,14,9,14,51,71,LB,Defense,169705,169705010
145026,71,52,60,74,45,71,69,66,74,72,70,75,68,68,70,65,81,74,68,73,62,65,75,53,66,61,54,11,5,14,5,15,69,72,RM,Midfield,167661,167661007
34088,52,36,70,52,73,57,63,54,58,70,75,61,64,62,46,64,80,63,39,67,66,62,57,65,70,74,23,8,21,54,21,21,35,67,RB,Defense,630,630005
197262,67,34,58,62,58,52,57,44,57,77,81,63,69,72,53,81,82,73,36,72,63,46,32,49,59,62,65,5,6,6,12,9,57,66,RB,Defense,189893,189893025
45110,40,39,84,70,35,49,59,68,65,78,79,60,81,82,87,87,88,90,82,88,84,85,62,78,85,88,89,7,23,68,23,23,72,84,CB,Defense,119152,119152008
142200,48,71,67,56,60,51,49,46,57,52,53,50,55,45,84,49,66,92,55,47,28,69,54,63,21,20,24,15,12,10,7,13,44,64,ST,Attack,191152,191152011
192438,66,55,52,65,50,67,68,59,65,73,75,71,69,67,69,66,90,72,70,75,66,60,64,61,69,70,60,8,12,8,9,8,52,68,RB,Defense,186992,186992023
112233,80,62,47,84,76,81,83,86,84,63,54,78,82,75,72,49,71,63,80,51,81,67,85,57,51,70,69,13,10,13,12,11,83,81,CM,Midfield,170797,170797017
148748,35,67,52,56,55,55,39,37,57,69,66,72,61,75,72,72,66,61,65,34,31,56,37,63,15,15,18,10,11,11,13,14,48,64,ST,Attack,201285,201285011
225364,11,12,13,13,13,11,12,24,23,42,40,48,63,43,17,55,21,58,12,31,16,10,58,23,11,14,13,71,65,66,65,79,12,69,GK,Goalkeeper,183475,183475030
29598,23,23,62,62,58,35,42,57,47,68,59,65,53,75,42,75,69,79,34,75,65,71,60,70,66,66,69,13,22,57,22,22,34,67,CB,Defense,169458,169458006
201518,56,68,61,64,70,76,64,64,75,90,92,85,71,90,80,92,83,34,68,72,41,72,72,62,25,29,23,11,5,13,11,8,44,72,ST,Attack,188268,188268023
12733,66,55,58,67,16,64,15,61,73,69,66,57,69,36,62,65,73,67,60,68,72,69,49,65,43,67,12,14,21,61,21,21,44,68,CM,Midfield,162329,162329003
95909,41,20,78,60,25,57,47,43,61,63,69,45,58,49,63,66,62,83,18,76,69,16,51,23,70,71,68,8,13,11,7,10,11,72,CB,Defense,139866,139866012
13633,61,50,34,58,57,62,27,51,59,75,62,58,58,62,48,69,62,47,51,66,50,49,62,53,33,44,23,6,24,51,24,24,51,61,LM,Midfield,148564,148564003
34847,75,58,48,74,23,78,50,68,73,87,84,60,72,61,73,61,66,48,83,41,63,78,58,74,63,68,65,13,21,68,21,21,81,71,RWB,Defense,163488,163488005
140160,58,43,35,63,50,59,61,52,62,76,73,84,60,90,57,70,74,46,51,46,40,52,59,57,31,50,48,8,14,9,6,8,60,60,CAM,Midfield,200203,200203011
128422,52,38,68,64,48,39,41,60,53,49,55,57,71,48,85,77,73,84,58,84,75,56,46,63,75,72,64,5,9,12,13,8,69,72,CB,Defense,175088,175088011
189265,65,75,71,75,72,85,75,59,83,80,85,83,79,80,76,82,86,68,67,60,72,77,75,73,63,59,53,15,5,13,11,5,70,78,CAM,Midfield,181291,181291022
218843,64,58,54,77,49,67,74,72,80,69,68,69,74,68,59,54,64,59,60,66,73,61,68,70,71,70,54,5,14,11,5,6,71,73,CM,Midfield,178616,178616018
28597,65,71,73,69,25,67,25,41,68,79,83,25,84,28,65,35,79,56,65,73,50,70,25,64,40,44,25,8,20,41,20,20,68,69,ST,Attack,51014,51014005
34572,64,64,44,65,34,76,44,62,75,69,64,63,74,67,67,82,67,59,66,44,52,47,55,47,26,23,74,3,21,62,21,21,61,71,RWM,Midfield,186825,186825003
47145,60,59,73,65,49,65,53,49,64,59,62,65,69,69,69,62,75,79,31,74,62,71,58,69,71,72,66,11,20,49,20,20,64,66,CB,Defense,52400,52400007
86660,61,20,51,60,31,57,44,56,62,70,66,71,48,82,66,61,74,71,45,77,55,59,53,31,55,60,57,5,14,10,9,11,34,59,LB,Defense,148721,148721007
224403,76,68,62,83,77,79,74,82,83,60,60,71,70,68,84,56,72,66,80,73,74,70,84,84,60,72,67,14,5,7,9,6,77,80,CM,Midfield,184826,184826043
187291,47,44,85,68,54,48,33,72,64,67,75,66,79,66,83,73,67,84,61,84,74,48,46,67,83,86,86,6,5,10,8,6,64,82,CB,Defense,183556,183556018
214072,25,25,25,35,25,25,25,33,29,33,41,52,69,48,40,73,28,64,25,21,24,25,25,29,25,25,25,76,74,64,75,76,25,76,GK,Goalkeeper,49031,49031024
65957,45,72,61,57,67,53,38,36,55,66,74,64,65,79,82,77,72,66,61,68,33,56,59,78,22,21,32,6,7,14,9,5,36,70,ST,Attack,189169,189169007
84186,67,58,58,67,57,62,57,63,66,53,62,63,70,63,72,61,76,71,70,59,53,59,64,60,49,57,42,12,9,6,12,5,67,65,RM,Midfield,163796,163796009
22933,30,21,53,52,51,42,57,35,51,67,56,60,38,63,21,60,59,78,22,55,41,49,50,45,57,61,20,9,21,35,21,21,32,67,CB,Defense,183322,183322003
111214,79,66,68,83,80,84,70,75,80,85,82,79,78,83,88,79,87,83,80,82,74,78,76,60,64,80,76,7,5,13,12,9,66,81,LM,Midfield,186832,186832014
22353,43,48,53,63,56,54,50,53,56,61,60,90,27,91,49,63,68,39,43,52,39,43,52,36,38,48,20,7,21,53,21,21,35,64,CM,Midfield,184490,184490002
28777,59,75,70,61,41,72,46,42,69,70,70,58,60,39,68,59,63,66,71,63,64,65,52,61,23,23,62,7,23,42,23,23,55,73,ST,Attack,173818,173818004
50031,36,21,66,54,11,47,34,43,56,68,71,54,52,73,21,72,69,65,21,52,59,58,53,56,63,67,56,10,21,43,21,21,8,64,CB,Defense,163582,163582004
57215,42,40,68,54,31,53,28,45,58,72,73,59,67,70,41,75,68,73,59,75,72,46,55,45,61,65,68,12,15,10,10,10,48,67,CB,Defense,184434,184434005
